Year,Units,Géographie,Offences,Groupe d'âge,Sexe,Value
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Femmes,151.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Sex unknown,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Sex unknown,186.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Sex unknown,165.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 à 44 ans,Sex unknown,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Total,164.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Total,162.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Total,176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Total,177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Total,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Hommes,169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Hommes,165.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Hommes,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Hommes,183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Hommes,179.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Femmes,134.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Femmes,141.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Femmes,148.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Femmes,152.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Femmes,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Sex unknown,189.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Sex unknown,183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Sex unknown,169.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 à 54 ans,Sex unknown,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Total,159.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Total,163.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Total,169.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Total,171.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Total,164.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Hommes,161.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Hommes,166.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Hommes,172.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Hommes,174.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Hommes,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Femmes,139.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Femmes,128.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Femmes,135.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Femmes,134.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Femmes,142.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Sex unknown,184.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Sex unknown,204.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Sex unknown,207.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Sex unknown,196.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 ans et plus,Sex unknown,169.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Total,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Total,122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Total,125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Total,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Hommes,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Hommes,110.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Hommes,122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Hommes,123.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Hommes,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Femmes,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Femmes,106.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Femmes,118.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Femmes,122.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Femmes,127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Company,88.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Company,103.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Company,192.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Company,226.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Company,351.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,160.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,171.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,167.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,155.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,116.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,121.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,134.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,137.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,143.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Hommes,117.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Hommes,123.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Hommes,135.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Hommes,138.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Hommes,145.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Femmes,101.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Femmes,107.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Femmes,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Femmes,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,170.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,155.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,177.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,183.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,171.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Total,113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Total,123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Total,124.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Total,133.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Hommes,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Hommes,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Hommes,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Hommes,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Hommes,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Femmes,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Femmes,113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Femmes,125.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Femmes,134.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Sex unknown,146.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Sex unknown,167.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Sex unknown,169.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Sex unknown,168.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 à 34 ans,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Total,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Total,123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Total,125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Total,127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Hommes,104.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Hommes,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Hommes,121.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Hommes,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Hommes,124.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Femmes,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Femmes,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Femmes,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Femmes,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Sex unknown,164.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Sex unknown,160.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Sex unknown,181.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Sex unknown,171.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 à 44 ans,Sex unknown,151.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Total,98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Total,105.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Total,114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Total,121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Total,125.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Hommes,98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Hommes,102.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Hommes,114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Hommes,121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Hommes,123.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Femmes,92.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Femmes,99.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Femmes,110.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Femmes,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Femmes,123.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Sex unknown,141.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Sex unknown,152.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Sex unknown,155.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Sex unknown,145.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 à 54 ans,Sex unknown,164.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Total,72.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Total,78.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Total,91.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Total,93.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Total,99.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Hommes,75.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Hommes,79.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Hommes,93.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Hommes,99.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Hommes,101.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Femmes,64.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Femmes,64.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Femmes,73.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Femmes,78.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Femmes,85.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Sex unknown,137.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Sex unknown,166.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Sex unknown,110.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 ans et plus,Sex unknown,127.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Total,75.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Total,79.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Total,86.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Total,84.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Total,86.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Hommes,70.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Hommes,75.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Hommes,83.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Hommes,81.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Hommes,84.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Femmes,80.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Femmes,87.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Femmes,92.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Femmes,90.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Femmes,98.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Company,4.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Company,14.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Company,53.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Company,49.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Company,78.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Sex unknown,103.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Sex unknown,102.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Sex unknown,99.0
